dim_height,dim_width,dim_depth,dim_weight,display_size,num_usb,num_hdmi,display_type,energyclass,display_resolution,dim_color,smart,usb,wifi,dim_density,display_pixeldensity,display_relativeenergy,is_company_tcl,is_company_lg,is_company_hisense,is_company_dyras,is_company_samsung,is_company_sony,is_company_tesla,is_company_philips,is_company_panasonic,is_company_loewe,is_company_gaba,is_company_nokia,is_company_vortex,is_company_smart,is_company_strong,price,serial_id
56.0,95.7,4.4,,43.0,1.0,3.0,5.0,5.0,1.0,6.0,1,1,1,,0.0001865950141812211,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119998.998,274435
78.8,123.5,26.0,,55.0,2.0,3.0,1.0,,1.0,,1,1,1,,0.00010275591360282784,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,199999.0031,276494
,,,7.5,43.0,2.0,3.0,4.0,5.0,1.0,6.0,1,1,1,,,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109999.0053,275834
46.9,73.0,18.8,3.9,32.0,2.0,2.0,4.0,5.0,3.0,6.0,0,1,0,6.05914094431867e-05,0.0008762449981014692,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47999.0023,271832
91.58,144.75,30.85,19.6,65.0,1.0,3.0,4.0,5.0,1.0,6.0,1,1,1,4.7927159608372434e-05,7.543637111828008e-05,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,194999.0004,274692
,,,,50.0,2.0,3.0,4.0,6.0,1.0,6.0,1,1,1,,,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,124999.0007,275837
90.8,145.5,34.0,24.0,65.0,2.0,3.0,1.0,6.0,1.0,6.0,1,1,1,5.3429791917675376e-05,7.569220521670678e-05,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,249999.0047,270707
64.6,111.7,7.4,9.8,50.0,2.0,2.0,4.0,6.0,1.0,6.0,1,1,1,0.00018353067625361005,0.00013858438819150146,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119900.0015,261993
,,,,55.0,2.0,3.0,4.0,6.0,1.0,6.0,1,1,1,,,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,128899.9962,275840
,,,,55.0,,3.0,2.0,,1.0,6.0,1,1,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199999.0031,270972
,,,,55.0,,,3.0,6.0,1.0,,1,1,1,,,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,419998.9949,270739
56.9,90.9,22.0,,40.0,1.0,3.0,4.0,5.0,2.0,,0,1,0,,0.00038668190193360283,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69998.9964,255073
74.34,123.79,22.78,,55.0,2.0,4.0,2.0,,1.0,6.0,1,1,1,,0.00010866554945441962,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259998.9974,249106
,,,10.3,43.0,2.0,3.0,1.0,6.0,1.0,6.0,1,1,1,,,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144998.9988,270685
78.3,124.4,23.5,14.4,55.0,1.0,3.0,4.0,6.0,1.0,6.0,1,1,1,6.29089573705314e-05,0.0001026639234866311,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149999.0015,271307
46.54,73.74,15.05,4.1,32.0,1.0,2.0,4.0,5.0,3.0,6.0,0,1,1,7.938123376883925e-05,0.0008741616352836813,0.6666666666666666,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85499.0035,234480
78.7,124.3,33.8,17.5,55.0,2.0,4.0,4.0,6.0,1.0,6.0,1,1,1,5.2926781773605976e-05,0.00010222429851130754,0.2857142857142857,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,279998.9955,251625
,,,,55.0,2.0,4.0,4.0,6.0,1.0,6.0,1,1,1,,,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,289999.0009,275844
99.85,168.23,31.58,,75.0,2.0,4.0,2.0,6.0,1.0,6.0,1,1,1,,5.953172759793558e-05,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,479999.0019,249104
96.1,167.7,8.5,26.0,75.0,2.0,3.0,2.0,6.0,1.0,2.0,1,1,1,0.00018980077087583095,6.205025201709857e-05,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,299899.9971,258128
82.6,144.6,4.5,21.8,65.0,1.0,3.0,5.0,5.0,1.0,6.0,1,1,1,0.0004055978456428559,8.37243259354519e-05,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179999.005,274432
76.5,122.7,29.2,12.2,55.0,1.0,2.0,2.0,6.0,1.0,,1,1,1,4.451137203531459e-05,0.00010653541503534311,0.2857142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169998.9996,282747
,,,,70.0,2.0,3.0,4.0,6.0,1.0,6.0,1,1,1,,,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,199999.0031,275852
,,,13.7,50.0,2.0,3.0,1.0,6.0,1.0,6.0,1,1,1,,,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,169998.9996,270691
71.9,113.0,23.5,11.4,50.0,1.0,3.0,4.0,6.0,1.0,,0,1,1,5.9707605570510095e-05,0.00012308146762341992,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149999.0015,270696
46.4,73.6,18.0,4.7,32.0,,2.0,4.0,5.0,2.0,6.0,1,0,1,7.645916625020824e-05,0.0005856446776611695,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94998.9972,267001
78.87,122.76,25.17,12.5,55.0,1.0,3.0,4.0,6.0,1.0,6.0,1,1,1,5.1292997196289596e-05,0.00010328357915444873,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,159998.9942,274691
61.1,97.3,18.7,8.1,43.0,1.0,3.0,4.0,6.0,1.0,,1,1,1,7.28600327019214e-05,0.00016820772981801608,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127998.9947,270687
,,,,55.0,2.0,3.0,4.0,5.0,1.0,6.0,1,1,1,,,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,139998.9961,275839
73.5,122.7,33.0,,55.0,2.0,4.0,3.0,,1.0,6.0,1,1,1,,0.00011088379932249998,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,399998.9968,251632
61.6,96.9,202.0,9.0,43.0,2.0,3.0,,5.0,1.0,6.0,1,1,1,7.4642581462922935e-06,0.00016753112728344925,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99998.9999,271835
56.8,90.7,20.7,7.7,40.0,2.0,3.0,4.0,5.0,2.0,6.0,1,1,1,7.220458179893909e-05,0.00038821684239949064,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74998.9991,271834
74.2,122.7,19.0,11.7,55.0,2.0,3.0,,4.0,1.0,6.0,1,1,1,6.763691532655969e-05,0.00010983772574398583,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,129999.0034,281582
,,,,85.0,3.0,4.0,2.0,,0.0,6.0,0,1,1,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2499900.004,283495
,,,,32.0,2.0,3.0,4.0,5.0,3.0,6.0,1,1,0,,,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59999.0037,274805
75.7,122.2,23.0,16.0,55.0,3.0,4.0,3.0,6.0,1.0,,1,1,1,7.520125029598741e-05,0.0001081017973004819,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,759999.0007,285470
61.6,96.9,20.2,6.3,43.0,2.0,3.0,4.0,5.0,1.0,,1,1,1,5.2249807024046054e-05,0.00016753112728344925,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,109999.0053,261846
63.0,95.8,21.7,,43.0,1.0,3.0,,6.0,1.0,6.0,1,0,1,,0.00016568910097093813,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,119998.998,278438
,,,,65.0,,,4.0,6.0,1.0,,1,0,1,,,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,299999.0063,285448
,,,,55.0,,,3.0,6.0,1.0,,1,0,1,,,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,719999.0045,285468
75.7,122.2,24.5,22.0,55.0,3.0,4.0,3.0,5.0,1.0,,1,1,1,9.70710016575756e-05,0.0001081017973004819,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,939998.9963,285471
,,,,77.0,,,3.0,5.0,1.0,,1,0,1,,,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1519999.0047,285477
88.0,144.1,23.0,18.5,65.0,3.0,4.0,3.0,5.0,1.0,,1,1,1,6.343036922646493e-05,7.885937795722667e-05,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1049999.0049,285474
